filename,score
Speaker_0019_00000.wav,4
Speaker_0019_00001.wav,2
Speaker_0019_00002.wav,3
Speaker_0019_00003.wav,2
Speaker_0019_00004.wav,5
Speaker_0019_00005.wav,4
Speaker_0019_00006.wav,2
Speaker_0019_00007.wav,1
Speaker_0019_00008.wav,1
Speaker_0019_00009.wav,2
Speaker_0019_00010.wav,2
Speaker_0019_00011.wav,1
Speaker_0019_00012.wav,4
Speaker_0019_00013.wav,3
Speaker_0019_00014.wav,1
Speaker_0019_00015.wav,5
Speaker_0019_00016.wav,3
Speaker_0019_00017.wav,5
Speaker_0019_00018.wav,5
Speaker_0019_00019.wav,4
Speaker_0019_00020.wav,1
Speaker_0019_00021.wav,4
Speaker_0019_00022.wav,3
Speaker_0019_00023.wav,4
Speaker_0019_00024.wav,2
Speaker_0019_00025.wav,1
Speaker_0019_00026.wav,2
Speaker_0019_00027.wav,3
Speaker_0019_00028.wav,2
Speaker_0019_00029.wav,5
Speaker_0019_00030.wav,1
Speaker_0019_00031.wav,4
Speaker_0019_00032.wav,4
Speaker_0021_00000.wav,3
Speaker_0021_00001.wav,2
Speaker_0021_00002.wav,5
Speaker_0021_00003.wav,2
Speaker_0021_00004.wav,5
Speaker_0021_00005.wav,4
Speaker_0021_00006.wav,4
Speaker_0021_00007.wav,5
Speaker_0021_00008.wav,5
Speaker_0021_00009.wav,4
Speaker_0021_00010.wav,2
Speaker_0021_00011.wav,4
Speaker_0021_00012.wav,5
Speaker_0021_00013.wav,4
Speaker_0021_00014.wav,5
Speaker_0021_00015.wav,2
Speaker_0021_00016.wav,2
Speaker_0021_00017.wav,1
Speaker_0021_00018.wav,3
Speaker_0021_00019.wav,1
Speaker_0021_00020.wav,4
Speaker_0021_00021.wav,5
Speaker_0021_00022.wav,2
Speaker_0021_00023.wav,2
Speaker_0021_00024.wav,1
Speaker_0021_00025.wav,5
Speaker_0021_00026.wav,1
Speaker_0021_00027.wav,5
Speaker_0021_00028.wav,3
Speaker_0021_00029.wav,1
Speaker_0021_00030.wav,3
Speaker_0021_00031.wav,3
Speaker_0021_00032.wav,1
Speaker_0021_00033.wav,4
Speaker_0021_00034.wav,2
Speaker_0021_00035.wav,2
Speaker_0021_00036.wav,3
Speaker_0021_00037.wav,2
Speaker_0021_00038.wav,3
Speaker_0021_00039.wav,2
Speaker_0021_00040.wav,4
Speaker_0021_00041.wav,1
Speaker_0021_00042.wav,3
Speaker_0021_00043.wav,4
Speaker_0021_00044.wav,5
Speaker_0021_00045.wav,1
Speaker_0021_00046.wav,2
Speaker_0021_00047.wav,1
Speaker_0021_00048.wav,1
Speaker_0021_00049.wav,2
Speaker_0021_00050.wav,2
Speaker_0021_00051.wav,5
Speaker_0021_00052.wav,2
Speaker_0021_00053.wav,2
Speaker_0021_00054.wav,3
Speaker_0021_00055.wav,3
Speaker_0021_00056.wav,5
Speaker_0021_00057.wav,1
Speaker_0023_00000.wav,5
Speaker_0023_00001.wav,5
Speaker_0023_00002.wav,4
Speaker_0023_00003.wav,1
Speaker_0023_00004.wav,1
Speaker_0023_00005.wav,2
Speaker_0023_00006.wav,1
Speaker_0023_00007.wav,1
Speaker_0023_00008.wav,3
Speaker_0023_00009.wav,1
Speaker_0023_00010.wav,4
Speaker_0023_00011.wav,5
Speaker_0023_00012.wav,2
Speaker_0023_00013.wav,1
Speaker_0023_00014.wav,2
Speaker_0023_00015.wav,4
Speaker_0023_00016.wav,4
Speaker_0023_00017.wav,5
Speaker_0023_00018.wav,1
Speaker_0023_00019.wav,1
Speaker_0023_00020.wav,4
Speaker_0023_00021.wav,1
Speaker_0023_00022.wav,3
Speaker_0023_00023.wav,1
Speaker_0023_00024.wav,3
Speaker_0023_00025.wav,2
Speaker_0023_00026.wav,3
Speaker_0023_00027.wav,5
Speaker_0023_00028.wav,2
Speaker_0023_00029.wav,3
Speaker_0023_00030.wav,1
Speaker_0023_00031.wav,5
Speaker_0023_00032.wav,3
Speaker_0023_00033.wav,4
Speaker_0023_00034.wav,4
Speaker_0023_00035.wav,3
Speaker_0023_00036.wav,4
Speaker_0023_00037.wav,2
Speaker_0023_00038.wav,4
Speaker_0024_00000.wav,1
Speaker_0024_00001.wav,5
Speaker_0024_00002.wav,3
Speaker_0024_00003.wav,3
Speaker_0024_00004.wav,3
Speaker_0024_00005.wav,2
Speaker_0024_00006.wav,4
Speaker_0024_00007.wav,2
Speaker_0024_00008.wav,4
Speaker_0024_00009.wav,1
Speaker_0024_00010.wav,3
Speaker_0024_00011.wav,1
Speaker_0024_00012.wav,3
Speaker_0024_00013.wav,3
Speaker_0024_00014.wav,2
Speaker_0024_00015.wav,3
Speaker_0024_00016.wav,4
Speaker_0024_00017.wav,3
Speaker_0024_00018.wav,1
Speaker_0024_00019.wav,1
Speaker_0024_00020.wav,5
Speaker_0024_00021.wav,5
Speaker_0024_00022.wav,5
Speaker_0024_00023.wav,5
Speaker_0024_00024.wav,4
Speaker_0024_00025.wav,1
Speaker_0024_00026.wav,1
Speaker_0024_00027.wav,4
Speaker_0024_00028.wav,1
Speaker_0024_00029.wav,1
Speaker_0024_00030.wav,2
Speaker_0024_00031.wav,2
Speaker_0024_00032.wav,2
Speaker_0024_00033.wav,5
Speaker_0024_00034.wav,2
Speaker_0024_00035.wav,1
Speaker_0024_00036.wav,3
Speaker_0024_00037.wav,2
Speaker_0024_00038.wav,5
Speaker_0024_00039.wav,5
Speaker_0024_00040.wav,1
Speaker_0024_00041.wav,1
Speaker_0024_00042.wav,4
Speaker_0024_00043.wav,4
Speaker_0024_00044.wav,3
Speaker_0024_00045.wav,3
Speaker_0024_00046.wav,5
Speaker_0024_00047.wav,1
Speaker_0024_00048.wav,5
Speaker_0024_00049.wav,1
Speaker_0024_00050.wav,2
Speaker_0024_00051.wav,4
Speaker_0024_00052.wav,3
Speaker_0024_00053.wav,1
Speaker_0025_00000.wav,3
Speaker_0025_00001.wav,4
Speaker_0025_00002.wav,1
Speaker_0025_00003.wav,3
Speaker_0025_00004.wav,4
Speaker_0025_00005.wav,1
Speaker_0025_00006.wav,5
Speaker_0025_00007.wav,5
Speaker_0025_00008.wav,4
Speaker_0025_00009.wav,3
Speaker_0025_00010.wav,4
Speaker_0025_00011.wav,4
Speaker_0025_00012.wav,4
Speaker_0025_00013.wav,3
Speaker_0025_00014.wav,5
Speaker_0025_00015.wav,5
Speaker_0025_00016.wav,2
Speaker_0025_00017.wav,3
Speaker_0025_00018.wav,4
Speaker_0025_00019.wav,4
Speaker_0025_00020.wav,3
Speaker_0025_00021.wav,4
Speaker_0025_00022.wav,3
Speaker_0025_00023.wav,3
Speaker_0025_00024.wav,5
Speaker_0025_00025.wav,1
Speaker_0025_00026.wav,4
Speaker_0025_00027.wav,3
Speaker_0025_00028.wav,4
Speaker_0025_00029.wav,2
Speaker_0025_00030.wav,1
Speaker_0025_00031.wav,5
Speaker_0025_00032.wav,4
Speaker_0025_00033.wav,2
Speaker_0025_00034.wav,1
Speaker_0025_00035.wav,5
Speaker_0025_00036.wav,3
Speaker_0025_00037.wav,4
Speaker_0025_00038.wav,5
Speaker_0025_00039.wav,4
Speaker_0025_00040.wav,3
Speaker_0025_00041.wav,3
Speaker_0025_00042.wav,3
Speaker_0025_00043.wav,5
Speaker_0025_00044.wav,1
Speaker_0025_00045.wav,4
Speaker_0025_00046.wav,4
Speaker_0025_00047.wav,5
Speaker_0025_00048.wav,1
